"","year","age2","age3","age4","age5","age6","age7","age8","age9","age10","age11","age12","age13","age14","age15","age16"
"1",1983.3,12.8164941055869,5.95304347826087,1.04086956521739,3.43384615384615,1.39655172413793,0.419459459459459,0.764030769230769,1.42619450317125,0.673277661795407,0.335908221797323,0.13071377072819,0.0564813205907906,0.126355064068273,0.0378983438035408,0.0408671034538542
"2",1984.3,6.36015350175887,2.98325986673501,1.41521739130435,0.575217391304348,1.94769230769231,0.663793103448276,0.323333333333333,0.394892307692308,0.628942917547569,0.161586638830898,0.139961759082218,0.0560201874549387,0.0661390040989361,0,0.0378983438035408
"3",1985.2,7.9077845183208,17.5257563159578,16.0942388518708,9.09391304347826,2.99478260869565,2.45538461538462,0.681034482758621,0.419459459459459,0.360553846153846,0.372050739957717,0.439874739039666,0.195946462715105,0.168834805291799,0.0282406602953953,0.0285537700865266
"4",1986.2,6.27217589948601,5.77247836285691,7.63218420211065,10.1789338800615,5.7795652173913,1.94478260869565,1.35692307692308,0.724137931034483,0.253423423423423,0.206030769230769,0.256892177589852,0.152609603340292,0.186982240570278,0.0560201874549387,0.0376542137271937
"5",1987.2,8.07119901112485,5.37209023415191,5.07773760414139,16.2772817396866,10.6398667350077,3.05869565217391,1.17782608695652,0.636923076923077,0.241379310344828,0.200990990990991,0.137353846153846,0.150591966173362,0.2369640631192,0.0559847036328872,0.0373467916366258
"6",1988.1,8.59457428323197,5.64412855377009,2.80447744146202,2.90156434522365,7.65574032619124,7.47735520246028,3.33260869565217,1.3604347826087,0.775384615384615,0.637931034482759,0.305855855855856,0.137353846153846,0.306976423074207,0.0807933194154489,0.0933078393881453
"7",1989.1,6.06885364095169,4.38671589921807,3.01718170580964,1.43066247858367,1.18514600016177,2.53228333866326,1.54924654023578,0.611739130434783,0.337826086956522,0.378461538461538,0.112068965517241,0.0961261261261261,0.176510448429077,0.0797251585623679,0.0538622129436326
"8",1990.1,1.38095602294455,9.16863734679164,13.6402389226759,10.3650185414091,5.37209023415191,3.92324193157001,3.69831148065238,1.47242439774475,0.648260869565217,0.292173913043478,0.147692307692308,0.103448275862069,0.131525018790135,0.00858461538461538,0.044291754756871
"9",1991.1,24.8574112734864,4.69338432122371,9.33669790915645,10.5808340573414,5.47280593325093,2.6907824100514,1.61425058642724,1.40158938279501,0.947473090722706,0.511304347826087,0.200869565217391,0.101538461538462,0.121053628695008,0.034954954954955,0.0257538461538462
"10",1992.1,1.59450317124736,6.23903966597077,1.96879541108987,3.87472963229993,1.91095134665508,0.980346106304079,0.502153055396916,0.265636172450053,0.282673488967061,0.102429523321374,0.0365217391304348,0.00913043478260869,0.0352108872798528,0.0172413793103448,0.00873873873873874
"11",1993.1,0,1.62107822410148,3.61774530271399,0.662485659655832,2.76366258111031,0.640121633362294,0.314091470951792,0.123169617361508,0.091950982771172,0.129558682443236,0.0384110712455151,0.0365217391304348,0.0183612040133779,0.00923076923076923,0
"13",1994.3,1.4051724137931,1.27585585585586,3.69996923076923,5.40359408033827,1.55302713987474,1.51158699808795,0.466834895457823,0.0753084274543875,0.0380716934487021,0.0284237578526556,0.0204335517269271,0.0117780620402942,0.0128036904151717,0,0
"14",1995.3,0.286153846153846,1,1.45936936936937,11.2286769230769,17.4066596194503,3.94989561586639,5.36520076481836,2.04473684210526,0.235338835794961,0.190358467243511,0.00947458595088521,0.0715174310442449,0.0353341861208826,0,0
"15",1996.3,0.986086956521739,3.38769230769231,3.12068965517241,1.15351351351351,2.30926153846154,2.57778012684989,0.484759916492693,0.429216061185469,0.0840302811824081,0.0847219808861859,0.019035846724351,0,0,0,0
"16",1997.3,1.68,2.44,1.01,0.46,0.25,0.26,0.21,0.12,0.04,0.01,0,0,0,0,0
"17",1998.3,1.28,6.28,7.4,4.91,3.53,1.73,2.19,2.43,0.38,0.26,0.06,0.03,0,0,0
"18",1999.3,3.05,2.52,2.26,2.41,2.12,1.54,0.39,0.68,0.52,0.07,0.02,0.02,0.01,0,0
"19",2000.3,3.84,6.66,3.52,2.24,1.75,1.11,0.8,0.31,0.28,0.46,0.11,0,0.01,0,0
"20",2001.3,2.88,11.44,10.58,3.71,1.74,1.08,0.66,0.6,0.32,0.43,0.8,0.1,0.11,0.03,0.03
"21",2002.3,1.53,3.72,7.08,4.95,2.58,1.73,0.85,0.45,0.31,0.07,0.11,0.16,0.01,0,0
"22",2003.3,2.62,2.24,3.67,5.88,3.51,1.34,0.63,0.28,0.16,0.17,0.04,0.09,0.02,0.01,0
"23",2004.3,2.24,2.5,1.85,1.93,3.49,3.61,1.08,0.68,0.57,0.67,0.13,0.09,0.08,0.06,0
"24",2005.3,1.63,7.32,7.27,3.49,2.08,1.52,1.2,0.41,0.09,0.15,0.06,0.03,0.24,0.08,0.13
"25",2006.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2007.3,2.34,5.33,3.26,2.11,1.14,0.76,0.35,0.56,0.37,0.12,0.1,0.07,0.06,0.01,0.01
"27",2008.3,4.09,4.3,3.27,1.99,1.22,0.5,0.34,0.12,0.14,0.08,0.04,0.02,0.02,0,0.01
"28",2009.3,2.47,8.64,5.81,4.91,2.65,1.53,0.84,0.18,0.15,0.18,0.32,0.12,0.04,0,0.03
"29",2010.3,2.76,7.75,13.95,5.87,3.53,1.27,0.25,0.08,0.03,0.03,0.07,0.01,0,0,0
"30",2011.3,4.63,6.37,2.56,5.46,2.04,1.42,0.49,0.09,0.08,0,0.02,0.01,0.01,0,0
"31",2012.3,3.99,11.21,6.37,3.34,3.39,1.76,0.94,0.16,0.25,0.01,0.04,0,0.03,0.02,0
"32",2013.3,19.94,12.11,16.14,5.83,4.04,2.72,2.06,0.48,0.24,0.06,0.01,0,0.01,0,0
"33",2014.3,5.21,11.03,4.54,2.23,1.11,0.41,0.83,0.42,0.06,0,0.01,0,0.01,0,0
"34",2015.3,4.9,8.47,10.97,2.87,1.17,0.92,0.31,0.43,0.06,0.01,0,0,0,0,0
"35",2016.3,2.58,5.98,4.62,4.71,2,0.69,0.22,0.12,0.14,0.01,0,0,0,0,0
