"Year" "Age1" "Age2" "Age3" "Age4" "Age5" "Age6" "Age7" "Age8" "Age9" "Age10" "Age11" "Age12" "Age13" "Age14" "Age15" "Age16"
"1" 1983 0.00483479309833318 0.0463263804866865 0.185150327408256 0.494157091511274 0.991962070351045 1.57526189396458 2.1884593554069 2.95496933162162 3.80080087850244 4.80569456437869 6.11099531775014 7.30296391387334 8.49240105975203 9.70396286468695 10.9259985903517 12.1485673213029
"2" 1984 0.00479584083748895 0.0444499659520592 0.182669930984081 0.473315291659919 0.94070448592617 1.57988806414961 2.2638300114058 2.96317790375115 3.86137795731687 4.83387512351232 5.99295455739521 7.44648509588474 8.71054045454484 9.94915439501243 11.1973094830777 12.4448577534508
"3" 1985 0.00495131268091246 0.0437047073697545 0.175443395006305 0.470944750887875 0.899386756481701 1.48823430008528 2.25919554742506 3.05467935132687 3.85706544972834 4.89821687427896 6.02133532961908 7.29702987002616 8.87793945752502 10.2000518381764 11.4746379481418 12.7474067849053
"4" 1986 0.00504946596868064 0.0454722024424537 0.171318045396911 0.452462296215837 0.898467171837093 1.41814064786253 2.11475662077618 3.03523061453567 3.9656821765395 4.87874092513188 6.09309475181272 7.32597578214992 8.69550639131202 10.3913922080574 11.7580694001943 13.0562882235404
"5" 1987 0.0050310409483856 0.0463944090028931 0.178793413221964 0.438599823490552 0.861146540816941 1.41909065035253 2.00926376925217 2.82744674422718 3.92822146038144 5.00667973122481 6.05950108555554 7.40563997628793 8.72449579482413 10.1750747285575 11.9730441329661 13.3715736007164
"6" 1988 0.00497640230281081 0.0458834823568766 0.181374288241724 0.456890204874642 0.827930478243269 1.35580919670103 2.01335660860984 2.68193688426493 3.64815251607398 4.94932011619744 6.21331696178907 7.35717227072094 8.81158865051441 10.2036354182046 11.722542737917 13.6095526136886
"7" 1989 0.00519967567192819 0.0450686710857465 0.177260735570166 0.459242961121169 0.858336452853594 1.29381094790056 1.91864561445469 2.69298646795042 3.46006065789755 4.58929364829474 6.1378036220934 7.53931496648505 8.74704177611422 10.2976148774616 11.7502578161877 13.3251139038781
"8" 1990 0.00533505170296095 0.0475058254675781 0.17254117962776 0.443055251267121 0.854424308126294 1.33455418150283 1.82021093797311 2.56327495266201 3.48544669286356 4.35762340087144 5.69187918564354 7.44520029773521 8.95795608102191 10.2161399220591 11.8505357607771 13.3516242516518
"9" 1991 0.00522326630529037 0.0496949508198142 0.182884095050642 0.427517696970201 0.815259335010193 1.31732006105974 1.86990851211035 2.42221588635776 3.31915649775039 4.40706917024145 5.41830710342032 6.9091816841755 8.84443517274148 10.4557967187307 11.7516215787553 13.4575835237136
"10" 1992 0.00507441915607321 0.0485485342808517 0.194431976708785 0.45476403798412 0.781434232535313 1.24621757395981 1.83355040199876 2.48162213702542 3.13006310939331 4.20393068698067 5.50653821514047 6.59447641656634 8.21577581190068 10.3224340602622 12.0195695445274 13.3410301391136
