"Estimate" "Low" "High"
"1959" 0.723529583865824 0.45677353238891 1.14607134960555
"1960" 0.829646895267039 0.548802679345495 1.25421029585192
"1961" 1.06304257699474 0.76021123328768 1.48650726406194
"1962" 0.989013256732813 0.706264930437118 1.3849579383587
"1963" 0.953077539810955 0.667028580726227 1.36179591570594
"1964" 1.14303984881625 0.827018545979682 1.57981958486088
"1965" 1.27939902020005 0.920536536302275 1.77816065776595
"1966" 1.50048177955439 1.06797051838337 2.10815329826033
"1967" 0.831936399115162 0.568538490250527 1.21736379161896
"1968" 0.621525285976654 0.42069416413132 0.918229236447832
"1969" 0.801436206715266 0.540890874459305 1.18748535751546
"1970" 0.68457931119333 0.470925953818599 0.995164589069258
"1971" 0.946263279970465 0.682529749491579 1.31190500588064
"1972" 1.09496424443535 0.798448470817223 1.50159558244846
"1973" 1.26587298762228 0.934979073065018 1.7138719645764
"1974" 1.80866296080828 1.30335615476921 2.50987551931192
"1975" 0.911080349333301 0.581786537522129 1.42675594811218
"1976" 0.35564235425886 0.210794914748628 0.600021515194582
"1977" 0.546449098102796 0.311210152816649 0.959501526909643
"1978" 0.453000521686214 0.235500739547699 0.871375066770938
"1979" 0.31091215677294 0.149542057316197 0.646415937857575
"1980" 0.327980388380024 0.146829975217472 0.732623805204528
"1981" 0.162450766662243 0.0740501881335027 0.356383315888034
"1982" 0.10954766187539 0.0527201806352034 0.227629914726646
"1983" 0.086314988958876 0.0437479219519613 0.170300141962214
"1984" 0.0555248329333263 0.0294530749415971 0.104675219086195
"1985" 0.0693821783268088 0.0378558721238514 0.12716353895173
"1986" 0.0917936521720265 0.0505559154485987 0.166668420585638
"1987" 0.111774365663526 0.0615312141939655 0.203043430609061
"1988" 0.0945340870551087 0.0513213334311635 0.174132139947796
"1989" 0.0839140877123944 0.0455839389072698 0.154474893688496
"1990" 0.111483946483092 0.060351838102914 0.205936897932607
"1991" 0.141899229566648 0.0753660661028693 0.267167870008301
"1992" 0.201074961792694 0.104579277937913 0.386607567552119
"1993" 0.0793273073985494 0.0399910473579329 0.157355761222785
"1994" 0.00689255770067235 0.00322315966083965 0.0147393727447934
"1995" 0.00295714107101811 0.0013590577371911 0.00643437219376392
"1996" 0.00474936803440009 0.0024537130758273 0.00919280128895109
"1997" 0.0274904337924219 0.0155213278288731 0.0486893878170476
"1998" 0.0607756424515375 0.0368466255544742 0.10024469431906
"1999" 0.105396427379418 0.065000901107103 0.170896198593332
"2000" 0.106004329272642 0.0651146221026739 0.172571343604268
"2001" 0.0879058966884292 0.0530195579880029 0.145747097219206
"2002" 0.143771117248231 0.0873531083058674 0.236627345674156
"2003" 0.174545225697548 0.105414795859402 0.289011002349634
"2004" 0.138379762620828 0.0818914627726038 0.233833394283962
"2005" 0.155338845227759 0.0926568890435979 0.260424854382275
"2006" 0.162358260881576 0.0978397551139656 0.269422228681838
"2007" 0.256020842089088 0.158160614021529 0.414431064203402
"2008" 0.362350494825631 0.228604470774048 0.574345202680459
"2009" 0.403714539643944 0.245121090625337 0.66491801706709
"2010" 0.414483497003851 0.249105491780095 0.689653881417435
"2011" 0.412212207445427 0.253076681908698 0.671412722363464
"2012" 0.370762337614817 0.22693776627273 0.605737481474992
"2013" 0.374430927807283 0.229558970348993 0.610729868170615
"2014" 0.684644842315365 0.419127721206556 1.11836687575725
"2015" 0.549431455838797 0.314274449681531 0.960545551733667
"2016" 0.793424576434489 0.381945438101735 1.64820022885721
