"Estimate" "Low" "High"
"1959" 78.6142957259052 64.6652833839206 95.5722633393242
"1960" 76.9475374814072 63.9081112979177 92.6474496617692
"1961" 73.804377248905 61.5031736856861 88.565935295245
"1962" 59.3004753454677 47.7824663034401 73.5949114444361
"1963" 55.9812827584216 44.4641133284246 70.4816487878763
"1964" 56.998341127745 46.4367302340315 69.962094121215
"1965" 60.9391411602651 50.5033099169329 73.5313968818828
"1966" 63.3993299753625 52.7662699883036 76.1750838597436
"1967" 53.7785182539427 44.5066641833407 64.9819320018191
"1968" 58.3601034059427 47.5601537329139 71.6125033716043
"1969" 62.3633575324251 50.6144012975729 76.8395607378959
"1970" 63.3066002495652 51.0501265490658 78.5056944238189
"1971" 63.9185081823886 51.5130230350188 79.3115109063719
"1972" 54.9633731842921 44.6673916666975 67.6326124958869
"1973" 51.2945841912167 42.1799623360584 62.3787746984435
"1974" 42.0536525609079 34.7853992902404 50.8405747755708
"1975" 32.2389849758133 26.0484110438814 39.9007889778694
"1976" 24.5352399724089 19.734482118807 30.5038661202062
"1977" 28.2109472590421 22.4811957805898 35.4010326238784
"1978" 32.5188791516247 25.2955545331284 41.8048752358065
"1979" 38.2351152034728 29.1482323490607 50.1548092905177
"1980" 50.9488325987854 38.9828855830407 66.5877731818894
"1981" 65.0828118555104 49.2515024467109 86.002907294103
"1982" 64.6617707308659 48.6112144847982 86.0119344551369
"1983" 64.7869695930548 50.0813775742235 83.8106224779996
"1984" 78.7520069769905 61.6728683938487 100.560891108521
"1985" 91.1303572630816 71.4441252777003 116.241076262278
"1986" 81.9181072797433 63.7865694687611 105.203593110333
"1987" 69.5042341104353 53.6226374539423 90.0895365959482
"1988" 57.8972826667366 44.5562012650521 75.2329697105761
"1989" 51.2395592426262 39.6427687371062 66.2287856024824
"1990" 50.8232771930108 39.900875167126 64.7355601554757
"1991" 48.8663942039123 39.266680728144 60.8129956036907
"1992" 40.6126751255434 32.3634036798716 50.9646450406813
"1993" 24.7405596994492 18.8034995954078 32.5522007824276
"1994" 23.1994508608823 17.185328884338 31.318255464811
"1995" 37.0079585790486 27.7525550558859 49.3500146357916
"1996" 39.2989537664598 30.1624026330992 51.2030750973253
"1997" 44.0036494323647 34.9817814864212 55.3522742721971
"1998" 62.4456826894674 51.390116559987 75.8796349878261
"1999" 67.9612225814807 56.3745328654578 81.9293312069212
"2000" 64.1133776290771 52.3665091762561 78.495306555061
"2001" 60.1125208763168 48.1801209325501 75.0001265286231
"2002" 68.8188999025735 55.2521119077134 85.7169223089781
"2003" 75.4158200410935 59.8637187921138 95.0082291449599
"2004" 69.4923623593181 55.3813853346032 87.1987653812159
"2005" 54.3141508581483 43.8438735318942 67.284816458922
"2006" 45.0437305229151 36.6021658067072 55.4321749738973
"2007" 40.2954410661748 32.8802967273475 49.3828442055108
"2008" 32.8024227289855 26.7346381312295 40.2473724016543
"2009" 29.4071095395308 23.8595910156495 36.2444641612992
"2010" 29.3987821278178 23.951864708983 36.0843884641161
"2011" 31.412283435794 25.2396616890598 39.0944840230706
"2012" 30.6450868033231 24.154069304743 38.8804608173745
"2013" 31.2326560825612 24.6893175588066 39.5101567164863
"2014" 34.4506069661587 26.992959246451 43.9686626983215
"2015" 38.0935375157601 29.2028693318655 49.690925366748
"2016" 50.483209070214 36.0675342476775 70.6606218358563
