"Estimate" "Low" "High"
"1959" 78.6721247644502 65.5530467986001 94.4167131387308
"1960" 76.5018231371632 64.2674224576482 91.065250783421
"1961" 72.7727111833375 61.2057988950938 86.5255839900159
"1962" 60.0369118457824 49.2839231125909 73.1360361825052
"1963" 55.5296752204289 45.0974633437864 68.3751280328093
"1964" 55.809177051439 46.2301262889289 67.3730420655319
"1965" 59.5501871366439 50.0594801204307 70.8402240590188
"1966" 61.2223591923737 51.5257032533293 72.7438351816737
"1967" 52.7220027354804 44.3630878835353 62.6559084376003
"1968" 58.1145819197052 48.151210056845 70.1395588545968
"1969" 63.203893756543 52.0584729903086 76.7354852442953
"1970" 64.0122211123221 52.3475267045868 78.27618055112
"1971" 65.3200963799594 53.2020207355163 80.1983633722925
"1972" 56.057199656692 46.0903780931328 68.1792982257707
"1973" 50.5727510985126 41.8836797215122 61.0644329886439
"1974" 40.5486393352444 33.7059998293264 48.7803999366657
"1975" 28.7957688793574 23.6714048056037 35.0294506035008
"1976" 22.9097826255943 19.0747110557188 27.5159156235094
"1977" 26.8865300978918 22.3687532761798 32.3167541695151
"1978" 29.106194720415 23.9244373052634 35.4102610771261
"1979" 31.646955677684 25.7799994110622 38.8491011072538
"1980" 39.8514263315725 32.715890517124 48.5432661485859
"1981" 46.7279079100344 37.9683341328168 57.5083797464112
"1982" 43.6346267174406 35.7010524552226 53.3312190490298
"1983" 43.5195771221586 36.8551183388764 51.3891605360465
"1984" 53.709240944088 45.1204957272728 63.9328650160745
"1985" 62.043048905561 51.890808674259 74.1815364964112
"1986" 54.0597933829962 45.6883211014492 63.96517075169
"1987" 45.3453607608231 38.1489313273445 53.8993274775
"1988" 37.7987624025266 31.8742126321359 44.8245249428431
"1989" 34.7208592357434 29.2786012146285 41.1747151863929
"1990" 36.2170440430587 30.8131060919396 42.5687133034593
"1991" 37.7714733574949 31.9010849740673 44.7221215440074
"1992" 31.7077015362426 25.9652520712736 38.7201454448321
"1993" 15.2921984990386 12.3858265674435 18.8805594572656
"1994" 13.3577837246207 10.3287742606412 17.2750784876448
"1995" 24.3149268761268 18.7216574965568 31.5792375274532
"1996" 29.6583978422708 23.535912434108 37.3735484032342
"1997" 36.7598697995266 30.1503417638058 44.8183320197157
"1998" 51.0347128481217 43.2059015049843 60.2820870475246
"1999" 54.6849400394894 46.6955372481617 64.0412948078948
"2000" 46.3721371025577 39.7442760836752 54.1052778249412
"2001" 38.5687074719234 33.2309289578107 44.7638763858619
"2002" 43.8631062391967 37.4812210546722 51.3316278075532
"2003" 48.2947271628111 40.4478612506054 57.663881342934
"2004" 46.3170752521121 38.6112840318589 55.5607386208579
"2005" 37.9274257060028 31.9424115834658 45.0338452663655
"2006" 32.722767761578 27.5812112888517 38.8227884107098
"2007" 28.6014050694951 24.4702366820934 33.4300146981396
"2008" 22.6421255322673 19.352905178242 26.4903818779274
"2009" 21.4524559840833 18.1246239509928 25.3913057172049
"2010" 23.929423863168 19.8460103534373 28.8530196359582
"2011" 28.5288333441876 23.2351831761644 35.0285309054656
"2012" 31.2233461112982 24.9624716331443 39.0545197892777
"2013" 35.448066927306 27.8773232457438 45.0748243583469
"2014" 46.1285216928411 34.5158812635151 61.6481583454784
