"V1" "V2"
"logssb" 4.29411985311179 0.116224717475638
"logssb" 4.27613736869003 0.106502859410273
"logssb" 4.28692375778983 0.0981578079407274
"logssb" 3.96592684196269 0.121117833869054
"logssb" 3.92138478946171 0.13276749410861
"logssb" 3.94833736178947 0.115255794994911
"logssb" 4.03608358698381 0.118269696154059
"logssb" 4.15096121004463 0.137941402617061
"logssb" 4.02334829125973 0.222210807790934
"logssb" 4.22820447626557 0.323510404093221
"logssb" 4.41256400799684 0.440048419585505
"logssb" 4.5854762911096 0.582064869784443
"logssb" 4.77674417903598 0.734224983404417
"logssb" 4.95813159738768 0.922628720821059
"logssb" 5.24214156385193 1.04132491382596
"logssb" 5.42312825654205 1.14201848773494
"logssb" 5.78943327755785 1.22223154539222
"logssb" 5.81004826201351 1.26147392079123
"logssb" 6.09863726187565 1.28832072372895
"logssb" 6.3339371843299 1.29655235057017
"logssb" 6.56803695161989 1.30477782986999
"logssb" 6.78448112007323 1.30844753876828
"logssb" 7.04449755100891 1.31082169988132
"logssb" 7.3021911615353 1.32839014896456
"logssb" 7.51050086403563 1.33799932416586
"logssb" 7.62254642308573 1.33932253467396
"logssb" 7.88238558183717 1.34850710112513
"logssb" 7.95359012627461 1.35706921063108
"logssb" 7.88790703727136 1.36117517598929
"logssb" 7.69684932494391 1.36166836243767
"logssb" 7.45831921221774 1.36016048247055
"logssb" 7.32928195868501 1.36153741669492
"logssb" 7.11818081846413 1.35691891283505
"logssb" 6.61344262505961 1.33838572106835
"logssb" 6.4041634387442 1.34302342453693
"logssb" 6.33505751370603 1.33662762963108
"logssb" 6.65242606999789 1.32263650459626
"logssb" 6.49062872457819 1.31336491965578
"logssb" 6.56334924881855 1.29883107569903
"logssb" 6.94489865627299 1.31259234385828
"logssb" 7.04132266111397 1.31702196295041
"logssb" 7.2774288261164 1.33818252362195
"logssb" 7.30250351289308 1.35207305353338
"logssb" 7.20655446622675 1.3418976758027
"logssb" 7.20502782059028 1.34069129502551
"logssb" 7.06337136757767 1.34748165181837
"logssb" 6.77811162777542 1.34735453853925
"logssb" 6.56582799823244 1.348413492028
"logssb" 6.4766625556229 1.35764730281618
"logssb" 6.40381052410861 1.35653535511291
"logssb" 6.49671807739447 1.36534287486867
"logssb" 6.22849878492509 1.34759482721269
"logssb" 6.14727843275752 1.32532692910254
"logssb" 6.19673752799076 1.32324278033062
"logssb" 6.17493356500614 1.31608353636916
"logssb" 6.14955037404757 1.30049719829496
"logssb" 6.11850958186764 1.29891829838948
"logssb" 6.21255007410211 1.28926206957731
"logfbar" -1.28480771847398 0.227003130306065
"logfbar" -1.2068151649845 0.209140557244789
"logfbar" -0.956129430438554 0.20198202421764
"logfbar" -1.09476207638403 0.203086354438443
"logfbar" -1.29408992415816 0.207648003903046
"logfbar" -1.19511426762845 0.21188540437233
"logfbar" -1.24299710515764 0.225412593219683
"logfbar" -1.04355327940779 0.259619396252258
"logfbar" -1.22616855794544 0.325460844366977
"logfbar" -1.46664121766844 0.404781743585593
"logfbar" -1.60181965564141 0.497441189825108
"logfbar" -1.5555924774099 0.594449939731405
"logfbar" -1.49353637282374 0.710951041774116
