"V1" "V2"
"logfbar" -3.03798680992973 1.00997168536439
"logfbar" -3.18935236967859 1.03727710951557
"logfbar" -3.25924181275678 1.04600214771244
"logfbar" -3.35534714052958 1.04522169480378
"logfbar" -3.14915009043619 1.04926853922701
"logfbar" -3.11852955936649 1.05691116731559
"logfbar" -3.32227451022559 1.07493553673415
"logfbar" -3.15946647323211 1.08261900462446
"logfbar" -3.42021953242375 1.09357480713005
"logfbar" -3.36019478003114 1.10706738650119
"logfbar" -3.22557236250091 1.11165564310484
"logfbar" -3.19440734984053 1.12126206571786
"logfbar" -3.28473216821491 1.1252166294233
"logfbar" -3.31007147910616 1.12386541728431
"logfbar" -3.29405783944325 1.13740478801691
"logfbar" -3.1539875791652 1.14873291870567
"logfbar" -2.90485150022272 1.15419419054348
"logfbar" -3.79148494586961 1.1525549510629
"logfbar" -6.78357071611324 1.15425355575532
"logfbar" -7.56689893292318 1.14633834123442
"logfbar" -6.79874693564743 1.13064712811065
"logfbar" -4.51830130834149 1.11595688868396
"logfbar" -4.09490545442301 1.12978303704095
"logfbar" -3.770010966965 1.13384805328497
"logfbar" -4.03451675686238 1.14363313129897
"logfbar" -4.22522846387595 1.14701710636116
"logfbar" -4.18611198225784 1.14643206086484
"logfbar" -4.24023274308054 1.15286288853427
"logfbar" -4.14806055569558 1.15198230032266
"logfbar" -3.96297698792506 1.15400146289866
"logfbar" -3.80300387954323 1.15665000207864
"logfbar" -3.58894958539401 1.16073901535986
"logfbar" -3.65513436142913 1.16419679285924
"logfbar" -4.10125657830309 1.17058514696682
"logfbar" -4.161785963959 1.16503279193361
"logfbar" -4.42241441092687 1.16401736773868
"logfbar" -4.92884410858433 1.1661118238154
"logfbar" -5.01038193609443 1.16093859559021
"logfbar" -4.65632707831717 1.15414602511904
"logfbar" -4.72102710120408 1.14928678375526
"logfbar" -4.73884244902177 1.14725639738485
"logCatch" 3.76105344128418 0.0759365719252462
"logCatch" 3.57938740094911 0.0740285462047129
"logCatch" 3.69980012136867 0.0692321678105213
"logCatch" 3.68059385340549 0.067348931087617
"logCatch" 3.99353603137834 0.0699793466260239
"logCatch" 3.71807300314992 0.0763900481640911
"logCatch" 3.73120439198904 0.0773572665542111
"logCatch" 3.82391778440941 0.0771074685712784
"logCatch" 3.95577971774977 0.0815912986236335
"logCatch" 4.01563587837153 0.0798130737757779
"logCatch" 3.5802652046997 0.0753085943803288
"logCatch" 3.74483679509795 0.0751870652453901
"logCatch" 3.69636584496038 0.0749778054295104
"logCatch" 3.46315722690313 0.0844130318225737
"logCatch" 3.03080515711631 0.0878546054200974
"logCatch" 3.13065592155269 0.0863454727062698
"logCatch" 3.14961520723592 0.082304567773178
"logCatch" 3.21948134234885 0.0887216007057499
"logCatch" 3.39979281668695 0.0870986689959996
"logCatch" 3.46792166022076 0.0855355858329376
"logCatch" 3.3210816882202 0.0777221210763641
"logCatch" 3.40738021573696 0.08011277658332
"logCatch" 3.41434671608549 0.0833591748915701
"logCatch" 3.75562061702962 0.0797092754036961
"logCatch" 3.95446963524856 0.0816399325812972
"logCatch" 3.9097169130277 0.0806413941551307
"logCatch" 3.59830931543245 0.0777464075686048
"logCatch" 3.40491222665263 0.0747280889852502
"logCatch" 3.53791781784373 0.0761878694012696
"logCatch" 3.6023618314573 0.0796772335925035
"logCatch" 3.39362132435783 0.0810775944302431
"logCatch" 2.43716801608371 0.0854598013431925
"logCatch" -0.474846883682918 0.0871742816105786
"logCatch" -0.714309520166706 0.0933465703772601
"logCatch" -0.207111193860003 0.0920156809194813
"logCatch" 2.03733104202018 0.0853974947918927
"logCatch" 2.74373195924576 0.0801253633440267
"logCatch" 3.14253432113862 0.0751288213504136
"logCatch" 2.99963383807542 0.073398075044542
"logCatch" 2.61351366925773 0.0688903363160499
"logCatch" 2.56996614175233 0.0679956560269382
"logCatch" 2.5835810889944 0.0714093697652775
"logCatch" 2.5234916303802 0.0816006050612644
"logCatch" 2.47768366863413 0.0810447133158345
"logCatch" 2.35236779996322 0.0764288101911768
"logCatch" 2.36379929425087 0.0697742642714546
"logCatch" 2.3166175045076 0.0689339376956018
"logCatch" 2.06588718018053 0.0717778794953907
"logCatch" 1.99907484456061 0.0793839878822961
"logCatch" 1.81740290594009 0.0793000842278837
"logCatch" 1.41943842300039 0.0823164543357958
"logCatch" 1.32148420515059 0.0807691363718289
"logCatch" 1.65669181840554 0.0793823805760036
"logCatch" 1.5913751087074 0.083589727143988
"logCatch" 1.66123019623882 0.0831147785429086
"logLand" 3.76105344128418 0.0759365719252462
"logLand" 3.57938740094911 0.0740285462047129
"logLand" 3.69980012136867 0.0692321678105213
"logLand" 3.68059385340549 0.067348931087617
"logLand" 3.99353603137834 0.0699793466260239
"logLand" 3.71807300314992 0.0763900481640911
"logLand" 3.73120439198904 0.0773572665542111
"logLand" 3.82391778440941 0.0771074685712784
"logLand" 3.95577971774977 0.0815912986236335
"logLand" 4.01563587837153 0.0798130737757779
"logLand" 3.5802652046997 0.0753085943803288
"logLand" 3.74483679509795 0.0751870652453901
"logLand" 3.69636584496038 0.0749778054295104
"logLand" 3.46315722690313 0.0844130318225737
"logLand" 3.03080515711631 0.0878546054200974
"logLand" 3.13065592155269 0.0863454727062698
"logLand" 3.14961520723592 0.082304567773178
"logLand" 3.21948134234885 0.0887216007057499
"logLand" 3.39979281668695 0.0870986689959996
"logLand" 3.46792166022076 0.0855355858329376
"logLand" 3.3210816882202 0.0777221210763641
"logLand" 3.40738021573696 0.08011277658332
"logLand" 3.41434671608549 0.0833591748915701
"logLand" 3.75562061702962 0.0797092754036961
"logLand" 3.95446963524856 0.0816399325812972
"logLand" 3.9097169130277 0.0806413941551307
"logLand" 3.59830931543245 0.0777464075686048
"logLand" 3.40491222665263 0.0747280889852502
"logLand" 3.53791781784373 0.0761878694012696
"logLand" 3.6023618314573 0.0796772335925035
"logLand" 3.39362132435783 0.0810775944302431
