"","Year","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16"
"1",1954,3.58659394204069e-05,0.000886476108067261,0.00584605713104847,0.0204800925636603,0.0684962732905468,0.203384167623697,0.466436215861481,0.744649411175997,0.939765568324028,0.991080716302499,0.999637685657924,0.999983384890431,0.999994875865974,0.999998509066249,0.999999882607577,0.999999882607577
"2",1955,1.97037371827672e-05,0.000543653823806456,0.0038312089369783,0.0140796807053713,0.0498192829793076,0.159635863655055,0.40419105460876,0.702221297621035,0.930368168391506,0.990269249462775,0.999645547152225,0.999985371681576,0.99999566647927,0.999998791229343,0.999999912747192,0.999999912747192
"3",1956,9.68670039531089e-06,0.000307951166037147,0.00236182245085,0.00921072016334579,0.0348209977008703,0.121329385445782,0.342375556378785,0.656181212217811,0.92090650890077,0.989764591212881,0.999676222730447,0.999988336081158,0.999996719313795,0.999999133382337,0.999999944076459,0.999999944076459
"4",1957,5.63097031210357e-06,0.000199208105246157,0.00162809628309663,0.00663543412105862,0.0263193510409335,0.0973378375373141,0.29754364961013,0.617776324149919,0.912483460792161,0.989298004300372,0.999695636332306,0.999990104702702,0.999997323633025,0.999999321477534,0.999999959765832,0.999999959765832
"5",1958,4.0932997865864e-06,0.000154579593137291,0.00131324702262465,0.00549667363897036,0.0224308779467697,0.0858260538879761,0.274376642755293,0.596550771241078,0.907998858968501,0.989138286676932,0.999710576466083,0.999991162314306,0.999997666190913,0.999999422994395,0.999999967509018,0.999999967509018
"6",1959,3.504534199266e-06,0.000138090500982846,0.00120302206885795,0.00512196753479436,0.0212699364406701,0.0829025003152538,0.270106240944358,0.595201368800919,0.909376315561661,0.989586498522384,0.99973418694269,0.999992208045241,0.999997974143257,0.999999507252373,0.999999973171724,0.999999973171724
"7",1960,3.17835569060955e-06,0.000130764367489186,0.00116859494009058,0.00506118694485356,0.0213726977717816,0.084565427611875,0.277710807571248,0.608249613983399,0.915526599029028,0.990600194503842,0.999770439443208,0.999993544395966,0.999998347947833,0.999999604793309,0.999999979205983,0.999999979205983
"8",1961,3.02341872494728e-06,0.00013012589865665,0.00119417503490759,0.0052640483486227,0.0226018423831461,0.0905276474425916,0.296527936216705,0.633868044788629,0.925222323440003,0.991979162139732,0.99981301302105,0.999994964735438,0.999998732552068,0.999999702013365,0.999999984871326,0.999999984871326
"9",1962,3.1633508767313e-06,0.000140633341235869,0.00131535902174628,0.00587017660894377,0.0254673507367796,0.102263011452731,0.328148962302647,0.670033968954924,0.936550178969155,0.993399165999828,0.999851238891618,0.99999611710003,0.999999034169105,0.999999775741112,0.999999988903156,0.999999988903156
"10",1963,3.45210600949396e-06,0.000158327118764391,0.00150804916956343,0.00680845705257428,0.0297964403837558,0.119329876892719,0.370266743090165,0.712086684880078,0.948115194291723,0.994761705368026,0.999885726208339,0.999997105378561,0.999999288176098,0.999999836690408,0.999999992116178,0.999999992116178
