"","Year","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16"
"1",1959,0.258673619531842,0.246817654285832,0.369253023386942,0.620875329514859,0.995411188383677,1.49317061466174,2.09228217228093,2.76570169932993,3.55434500170598,4.45392325655577,5.41518923997398,6.45448158194981,7.58769956705521,8.8189484282044,10.1676624278148,11.656070078738
"2",1960,0.258673619531842,0.246817654285832,0.369253023386942,0.620875329514859,0.995411188383677,1.49317061466174,2.09228217228093,2.76570169932993,3.55434500170598,4.45392325655577,5.41518923997398,6.45448158194981,7.58769956705521,8.8189484282044,10.1676624278148,11.656070078738
"3",1961,0.258673619531842,0.246817654285832,0.369253023386942,0.620875329514859,0.995411188383677,1.49317061466174,2.09228217228093,2.76570169932993,3.55434500170598,4.45392325655577,5.41518923997398,6.45448158194981,7.58769956705521,8.8189484282044,10.1676624278148,11.656070078738
"4",1962,0.258673619531842,0.246817654285832,0.369253023386942,0.620875329514859,0.995411188383677,1.49317061466174,2.09228217228093,2.76570169932993,3.55434500170598,4.45392325655577,5.41518923997398,6.45448158194981,7.58769956705521,8.8189484282044,10.1676624278148,11.656070078738
"5",1963,0.258673619531842,0.246817654285832,0.369253023386942,0.620875329514859,0.995411188383677,1.49317061466174,2.09228217228093,2.76570169932993,3.55434500170598,4.45392325655577,5.41518923997398,6.45448158194981,7.58769956705521,8.8189484282044,10.1676624278148,11.656070078738
"6",1964,0.258673619531842,0.246817654285832,0.369253023386942,0.620875329514859,0.995411188383677,1.49317061466174,2.09228217228093,2.76570169932993,3.55434500170598,4.45392325655577,5.41518923997398,6.45448158194981,7.58769956705521,8.8189484282044,10.1676624278148,11.656070078738
"7",1965,0.258673619531842,0.246817654285832,0.369253023386942,0.620875329514859,0.995411188383677,1.49317061466174,2.09228217228093,2.76570169932993,3.55434500170598,4.45392325655577,5.41518923997398,6.45448158194981,7.58769956705521,8.8189484282044,10.1676624278148,11.656070078738
"8",1966,0.258673619531842,0.246817654285832,0.369253023386942,0.620875329514859,0.995411188383677,1.49317061466174,2.09228217228093,2.76570169932993,3.55434500170598,4.45392325655577,5.41518923997398,6.45448158194981,7.58769956705521,8.8189484282044,10.1676624278148,11.656070078738
"9",1967,0.258673619531842,0.246817654285832,0.369253023386942,0.620875329514859,0.995411188383677,1.49317061466174,2.09228217228093,2.76570169932993,3.55434500170598,4.45392325655577,5.41518923997398,6.45448158194981,7.58769956705521,8.8189484282044,10.1676624278148,11.656070078738
"10",1968,0.258673619531842,0.246817654285832,0.369253023386942,0.620875329514859,0.995411188383677,1.49317061466174,2.09228217228093,2.76570169932993,3.55434500170598,4.45392325655577,5.41518923997398,6.45448158194981,7.58769956705521,8.8189484282044,10.1676624278148,11.656070078738
