"","Year","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16"
"1",1959,0.334673849635215,0.252745636908837,0.308035338836387,0.495064176450901,0.808143258949268,1.24429090152271,1.79272639347134,2.42899193580543,3.16002335051795,4.00413412913087,4.93455624826487,5.93483541096189,7.02109057450251,8.20332399762981,9.49330542800961,10.9118662532764
"2",1960,0.334673849635215,0.252745636908837,0.308035338836387,0.495064176450901,0.808143258949268,1.24429090152271,1.79272639347134,2.42899193580543,3.16002335051795,4.00413412913087,4.93455624826487,5.93483541096189,7.02109057450251,8.20332399762981,9.49330542800961,10.9118662532764
"3",1961,0.334673849635215,0.252745636908837,0.308035338836387,0.495064176450901,0.808143258949268,1.24429090152271,1.79272639347134,2.42899193580543,3.16002335051795,4.00413412913087,4.93455624826487,5.93483541096189,7.02109057450251,8.20332399762981,9.49330542800961,10.9118662532764
"4",1962,0.334673849635215,0.252745636908837,0.308035338836387,0.495064176450901,0.808143258949268,1.24429090152271,1.79272639347134,2.42899193580543,3.16002335051795,4.00413412913087,4.93455624826487,5.93483541096189,7.02109057450251,8.20332399762981,9.49330542800961,10.9118662532764
"5",1963,0.334673849635215,0.252745636908837,0.308035338836387,0.495064176450901,0.808143258949268,1.24429090152271,1.79272639347134,2.42899193580543,3.16002335051795,4.00413412913087,4.93455624826487,5.93483541096189,7.02109057450251,8.20332399762981,9.49330542800961,10.9118662532764
"6",1964,0.334673849635215,0.252745636908837,0.308035338836387,0.495064176450901,0.808143258949268,1.24429090152271,1.79272639347134,2.42899193580543,3.16002335051795,4.00413412913087,4.93455624826487,5.93483541096189,7.02109057450251,8.20332399762981,9.49330542800961,10.9118662532764
"7",1965,0.334673849635215,0.252745636908837,0.308035338836387,0.495064176450901,0.808143258949268,1.24429090152271,1.79272639347134,2.42899193580543,3.16002335051795,4.00413412913087,4.93455624826487,5.93483541096189,7.02109057450251,8.20332399762981,9.49330542800961,10.9118662532764
"8",1966,0.334673849635215,0.252745636908837,0.308035338836387,0.495064176450901,0.808143258949268,1.24429090152271,1.79272639347134,2.42899193580543,3.16002335051795,4.00413412913087,4.93455624826487,5.93483541096189,7.02109057450251,8.20332399762981,9.49330542800961,10.9118662532764
"9",1967,0.334673849635215,0.252745636908837,0.308035338836387,0.495064176450901,0.808143258949268,1.24429090152271,1.79272639347134,2.42899193580543,3.16002335051795,4.00413412913087,4.93455624826487,5.93483541096189,7.02109057450251,8.20332399762981,9.49330542800961,10.9118662532764
"10",1968,0.334673849635215,0.252745636908837,0.308035338836387,0.495064176450901,0.808143258949268,1.24429090152271,1.79272639347134,2.42899193580543,3.16002335051795,4.00413412913087,4.93455624826487,5.93483541096189,7.02109057450251,8.20332399762981,9.49330542800961,10.9118662532764
"11",1969,0.334673849635215,0.252745636908837,0.308035338836387,0.495064176450901,0.808143258949268,1.24429090152271,1.79272639347134,2.42899193580543,3.16002335051795,4.00413412913087,4.93455624826487,5.93483541096189,7.02109057450251,8.20332399762981,9.49330542800961,10.9118662532764
"12",1970,0.334673849635215,0.252745636908837,0.308035338836387,0.495064176450901,0.808143258949268,1.24429090152271,1.79272639347134,2.42899193580543,3.16002335051795,4.00413412913087,4.93455624826487,5.93483541096189,7.02109057450251,8.20332399762981,9.49330542800961,10.9118662532764
"13",1971,0.334673849635215,0.252745636908837,0.308035338836387,0.495064176450901,0.808143258949268,1.24429090152271,1.79272639347134,2.42899193580543,3.16002335051795,4.00413412913087,4.93455624826487,5.93483541096189,7.02109057450251,8.20332399762981,9.49330542800961,10.9118662532764
"14",1972,0.334673849635215,0.252745636908837,0.308035338836387,0.495064176450901,0.808143258949268,1.24429090152271,1.79272639347134,2.42899193580543,3.16002335051795,4.00413412913087,4.93455624826487,5.93483541096189,7.02109057450251,8.20332399762981,9.49330542800961,10.9118662532764
"15",1973,0.334673849635215,0.252745636908837,0.308035338836387,0.495064176450901,0.808143258949268,1.24429090152271,1.79272639347134,2.42899193580543,3.16002335051795,4.00413412913087,4.93455624826487,5.93483541096189,7.02109057450251,8.20332399762981,9.49330542800961,10.9118662532764
"16",1974,0.334673849635215,0.252745636908837,0.308035338836387,0.495064176450901,0.808143258949268,1.24429090152271,1.79272639347134,2.42899193580543,3.16002335051795,4.00413412913087,4.93455624826487,5.93483541096189,7.02109057450251,8.20332399762981,9.49330542800961,10.9118662532764
"17",1975,0.334673849635215,0.252745636908837,0.308035338836387,0.495064176450901,0.808143258949268,1.24429090152271,1.79272639347134,2.42899193580543,3.16002335051795,4.00413412913087,4.93455624826487,5.93483541096189,7.02109057450251,8.20332399762981,9.49330542800961,10.9118662532764
"18",1976,0.334677237018332,0.252749274212199,0.308039352961518,0.495068451496593,0.808147388345811,1.24429390835816,1.79272638708218,2.42898647022655,3.16001050559156,4.00411291910692,4.93452597916202,5.93479562848436,7.02104209700368,8.20326916437794,9.49324689644182,10.9118058670677
"19",1977,0.321435588317587,0.238530660119565,0.292347701626256,0.478356833332947,0.79200512853393,1.23253986184807,1.79275136297595,2.45035201198687,3.2102227186749,4.08702520755173,5.05285119145067,6.09030965616325,7.21054590778839,8.41761830443546,9.72205315536044,11.1478621189552
"20",1978,0.342205447716207,0.260832914334376,0.316960451845736,0.504569427204494,0.817324669494859,1.2509763797543,1.79271218765771,2.4168396217728,3.13146359816026,3.95697519547736,4.86725511666515,5.84638198806088,6.91330440905571,8.08140628115779,9.3631647771333,10.7776019442088
"21",1979,0.30025666807584,0.215789164659174,0.267250205113446,0.451627984365789,0.766186921088346,1.21374023808665,1.79279130984918,2.48452442624506,3.29053299423703,4.21963654498545,5.2421025671882,6.33904146162935,7.51364155583189,8.76045199861962,10.0880098136259,11.5254145404305
"22",1980,0.245165079709203,0.156632933253382,0.201965434637215,0.382099664319043,0.699027403949562,1.1648377859366,1.79289522150623,2.573415293122,3.49943980310063,4.56459129863937,5.73439201211468,6.98605415557292,8.30206799528828,9.65224688441258,11.0399532246715,12.5075213878676
"23",1981,0.24406787004974,0.15545477175105,0.200665216529405,0.380714931247747,0.697689848197146,1.16386383974152,1.79289729102133,2.57518565263907,3.50360041228633,4.57146145248696,5.74419649861143,6.99894012598396,8.31777037619243,9.67000796177415,11.0589122261603,12.5270811274137
"24",1982,0.264206596391277,0.177079328076228,0.224530059890629,0.406131003862857,0.722240005072034,1.1817401277644,1.79285930612224,2.54269160236078,3.42723454266229,4.44536326599402,5.56424012584863,6.76242468017553,8.02956114542972,9.34401240255657,10.71092937767,12.1680720368233
