"Year" "Age1" "Age2" "Age3" "Age4" "Age5" "Age6" "Age7" "Age8" "Age9" "Age10" "Age11" "Age12" "Age13" "Age14" "Age15" "Age16"
"1" 1959 0.0178815873774467 0.0929735926727209 0.292968667431966 0.64476820468116 1.08338231820693 1.5327935878991 2.0770603659898 2.76195579317035 3.40985396672978 4.50379302297726 5.83051749716736 7.21948674676768 8.68644696847671 10.2930395600746 11.8219101769438 13.4966697476582
"2" 1960 0.0178815831693437 0.0929711644799574 0.292961620826371 0.644734066409465 1.08301949369531 1.5305563915778 2.07421304250944 2.75874418949871 3.40058360650527 4.49850096692186 5.82859510607594 7.21934470322104 8.68639799319507 10.2930411163489 11.8219099343839 13.4966940528227
"3" 1961 0.0178815763928019 0.0929678773959475 0.292951884621375 0.644688244267431 1.08257678018195 1.52799864399767 2.070983961468 2.75510859753586 3.39031240100226 4.49238910159644 5.82621846272029 7.21914417812495 8.68632486904587 10.2930436637964 11.8219095054929 13.4967325401538
"4" 1962 0.0178815654801606 0.0929634276168975 0.292938432231219 0.644626739434397 1.08203658719983 1.52507441574759 2.06732193836312 2.75099304335431 3.37893229710875 4.48533042773413 5.82328022935812 7.21886109371097 8.68621568863857 10.2930478336841 11.8219087471335 13.4967934850056
"5" 1963 0.0178815479069287 0.0929574038786742 0.292919845235467 0.644544184487847 1.08137745110137 1.52173119653199 2.06316892608235 2.74633416348155 3.36632357609844 4.47717827220687 5.81964770482724 7.21846145901684 8.68605267325353 10.2930546593253 11.8219074062124 13.496889991437
"6" 1964 0.0178815196077784 0.0929492494463361 0.292894163820708 0.644433374997538 1.08057318223697 1.51790895224473 2.0584590947923 2.74106022934989 3.35235359418936 4.46776324028489 5.81515683128488 7.21789728846962 8.68580927779079 10.2930658321392 11.8219050352136 13.4970428097801
"7" 1965 0.0178814740360863 0.092938210658744 0.292858680137773 0.644284640807093 1.0795918243539 1.51353904693809 2.05311778846305 2.73509004295642 3.33687538713088 4.45688969576092 5.80960478476681 7.21710084008553 8.68544586821891 10.2930841207899 11.8219008428449 13.4972847982742
"8" 1966 0.0178814006494617 0.0929232672725645 0.292809652786028 0.64408500213584 1.07839438486904 1.50854301032874 2.0470603414876 2.7283316867307 3.31972612413941 4.44433169579931 5.8027408149293 7.21597648144677 8.68490326764844 10.2931140572724 11.8218934299545 13.4976679880806
"9" 1967 0.017881282470908 0.0929030381678149 0.29274191231998 0.643817036855361 1.07693328556507 1.50283112870878 2.0401907366384 2.72068110836288 3.30072539491801 4.42982829603964 5.79425492026381 7.21438920677358 8.68409312008533 10.293163059957 11.82188032258 13.4982747707636
"10" 1968 0.0178810921614252 0.0928756536999268 0.292648316182784 0.643457360089873 1.07515047215107 1.49630083395886 2.03240008308824 2.71202051880424 3.27967331173961 4.41307812839893 5.78376384731646 7.21214842629546 8.68288350271715 10.293243271889 11.8218571462946 13.4992356137144
"11" 1969 0.0178807856955047 0.0928385829006605 0.292518995594821 0.642974583457766 1.07297510757422 1.48883486173497 2.02356489037034 2.70221657877548 3.25634840662747 4.39373313890399 5.77079378158676 7.20898508145292 8.68107744386563 10.29337456988 11.8218161662948 13.5007571126004
"12" 1970 0.0178802921764273 0.092788399557173 0.292340314989275 0.642326575860742 1.07032075743018 1.48029914575544 2.01354511091796 2.69111834586229 3.23050530151149 4.37139135543134 5.75475894836457 7.20451933806996 8.67838084851162 10.2935894900546 11.8217437060037 13.5031664125367
"13" 1971 0.0178794974352717 0.0927204655494521 0.29209343427754 0.64145678677429 1.06708195563938 1.47054041037599 2.00218192015576 2.67855495059118 3.2018721268501 4.34558853507472 5.73493515704214 7.19821497830044 8.67435460844911 10.2939412904218 11.8216155826797 13.5069815491998
"14" 1972 0.0178782176194887 0.0926285021790526 0.291752322349692 0.640289311179273 1.06313001393204 1.45938341822274 1.98929519895477 2.6643329657065 3.17014766156198 4.31578851757963 5.71042709406766 7.18931501502552 8.66834309878123 10.2945171484053 11.8213890367207 13.5130228342797
"15" 1973 0.0178761566611165 0.0925040098698401 0.291281012353449 0.638722265459581 1.05830790863912 1.4466278234589 1.97468067854521 2.64823342814556 3.13499816417932 4.28137208439777 5.68012788737242 7.17675079769169 8.65936741727045 10.2954597637296 11.8209884611663 13.5225892348151
"16" 1974 0.0178728377854875 0.0923354826074558 0.290629809348149 0.636618896191661 1.05242404162434 1.4320445741795 1.95810670263074 2.63000846786206 3.09605386188669 4.24162409186196 5.64266911605635 7.15901369560087 8.64596598185178 10.2970027199358 11.8202801687937 13.5377376706188
"17" 1975 0.0178674932158982 0.0921073445132521 0.28973005046866 0.633795645905065 1.04524462745885 1.41537179933185 1.93931055538027 2.60937749159468 3.05290506050983 4.1957186111203 5.59635900758973 7.13397395120445 8.62595652952603 10.2995283672416 11.819027775632 13.5617252829342
"18" 1976 0.0178588865589192 0.0917985102671454 0.288486865110744 0.630006134333161 1.03648440435554 1.39631010630347 1.91799429709169 2.58602286282601 3.00509783453185 4.14270176605009 5.53910603129496 7.09862495246568 8.5960807610081 10.3036625703303 11.8168133106849 13.5997097687289
"19" 1977 0.0178450267816038 0.0913804363286337 0.286769171771596 0.624919657224928 1.02579529977808 1.37451720473619 1.89382004151843 2.55958501141977 2.95212925179535 4.08147191253833 5.46832443731591 7.04872221815454 8.55147376577372 10.310429799919 11.8128977231906 13.6598583630162
"20" 1978 0.0178227076131159 0.0908144828430144 0.284395856812114 0.618092326345557 1.01275260037187 1.34960176002654 1.86640459999911 2.52965689764407 2.89344208265475 4.01075674727138 5.38081747487574 6.9782737477429 8.48487182973832 10.321507000367 11.8059742334122 13.7551039170643
"21" 1979 0.0177867658176124 0.0900483424109538 0.281116677829155 0.608928332102676 0.996838076702648 1.32111636613976 1.83531340749387 2.49577774534804 2.82841893791873 3.92908687037432 5.27263301554055 6.87882054038166 8.3854296265512 10.3396391426504 11.7937322107832 13.9059256556836
"22" 1980 0.0177288867499082 0.0890112056558092 0.276585878088768 0.596627948253209 0.977419392293064 1.28854951155052 1.80005363424831 2.45742594780745 2.75637577391413 3.83476525255439 5.13888506091752 6.73842089228933 8.23695418629597 10.3693194382562 11.7720860290388 14.1447525181813
