"V1" "V2"
"logssb" 4.2945261491499 0.116958347977205
"logssb" 4.27648424742968 0.107161255604304
"logssb" 4.28895766973208 0.0986771892201233
"logssb" 3.96577678395369 0.121779999810447
"logssb" 3.92274566140502 0.133636716555647
"logssb" 3.95069603206595 0.116247903071356
"logssb" 4.04130017858768 0.120379100963584
"logssb" 4.16199912445353 0.141674699190837
"logssb" 4.04334531209486 0.228586591188234
"logssb" 4.26149569886632 0.329461735502568
"logssb" 4.46017681290487 0.441982047709535
"logssb" 4.64878406967474 0.574269078660819
"logssb" 4.85614960751451 0.710842793066994
"logssb" 5.05613845680381 0.873239866455128
"logssb" 5.35222239809818 0.972006610810063
"logssb" 5.54033752218953 1.0543426799685
"logssb" 5.9144711686781 1.11988907977984
"logssb" 5.93234336178322 1.15184977976831
"logssb" 6.22546350145729 1.17472085232972
"logssb" 6.45960265097518 1.18264377740639
"logssb" 6.69393165887505 1.19052749935097
"logssb" 6.91070541017433 1.19455912540097
"logssb" 7.1697086389704 1.19744883695767
"logssb" 7.43278558268794 1.21219228262371
"logssb" 7.64466729121592 1.22025112016357
"logssb" 7.75677475807919 1.22152684178946
"logssb" 8.02411707601554 1.22943867621238
"logssb" 8.0973901464308 1.23620552973882
"logssb" 8.03280993649302 1.23948957933793
"logssb" 7.84062414412434 1.23977788628284
"logssb" 7.59726158423298 1.23852107231882
"logssb" 7.46429398848114 1.23997797143957
"logssb" 7.23811166226954 1.23642740176221
"logssb" 6.69522729209944 1.2207727155753
"logssb" 6.43275648719938 1.22302394483348
"logssb" 6.39216810123191 1.21947452799483
"logssb" 6.72077017049795 1.2085497376853
"logssb" 6.5365542670295 1.20042310839454
"logssb" 6.56748037507267 1.18636574950563
"logssb" 6.95957552803219 1.19819643954373
"logssb" 7.05174419186272 1.20163312021054
"logssb" 7.2929447937953 1.22026754003871
"logssb" 7.32116083167841 1.23215513153343
"logssb" 7.22943531788397 1.22269531112171
"logssb" 7.24340953260599 1.2209810904599
"logssb" 7.13368161098861 1.22652578617043
"logssb" 6.9116633000542 1.22685952071174
"logssb" 6.71049698594243 1.2291724268929
"logssb" 6.61275029788611 1.23661812763133
"logssb" 6.50553835511916 1.23487445537466
"logssb" 6.56781964923795 1.24206132791855
"logssb" 6.28315494899934 1.227295566041
"logssb" 6.21097513124328 1.2089470196356
"logssb" 6.25714032994606 1.20770374705415
"logssb" 6.22478743675607 1.20239170303742
"logssb" 6.18544977467359 1.18991822946747
"logssb" 6.13890314065985 1.18981397696681
"logssb" 6.22183441120514 1.18265396029868
"logfbar" -1.09389922265105 0.171907371648421
"logfbar" -0.978023174509823 0.159174012932232
"logfbar" -0.648464112861545 0.157007959848126
"logfbar" -0.907764907300797 0.162535959572837
"logfbar" -1.10192164942248 0.163982043692206
"logfbar" -0.949567374257158 0.163746618640251
"logfbar" -0.957381389433596 0.174921053934583
"logfbar" -0.688682346637101 0.212667452261737
"logfbar" -1.00115855971926 0.297817944059922
"logfbar" -1.23918228920256 0.395569037431983
"logfbar" -1.33035028516101 0.513662000099858
"logfbar" -1.42635044598759 0.627493554622983
"logfbar" -1.41899444836683 0.750022906789785
"logfbar" -1.95837934965307 0.859529224809301
"logfbar" -1.95845959452804 0.914229154650945
"logfbar" -2.01448711432085 0.966236103540856
"logfbar" -2.40746817694192 1.00665524757158
"logfbar" -2.94818469216543 1.01985897857073
"logfbar" -3.09665058246544 1.04904138129131
"logfbar" -3.16807138185976 1.05744213131288
"logfbar" -3.26533739226346 1.05526761093313
"logfbar" -3.05829778574303 1.05912900560499
"logfbar" -3.02552542897886 1.06695870541942
"logfbar" -3.22438301384928 1.08678260279548
"logfbar" -3.06114236040029 1.09540085887955
"logfbar" -3.31927229566577 1.10764741445584
"logfbar" -3.25401883486444 1.12284206187846
"logfbar" -3.11609655853247 1.12809312257129
"logfbar" -3.08249144269552 1.13924398387261
"logfbar" -3.17217419636527 1.1440426200114
"logfbar" -3.19879964289147 1.14278156616037
"logfbar" -3.1778769492416 1.15819987669893
"logfbar" -3.03799537402865 1.17127561255757
"logfbar" -2.79549105761421 1.17793012477435
"logfbar" -3.68524871387049 1.17572769561143
"logfbar" -6.66845204467917 1.17722257783982
"logfbar" -7.44915777061014 1.16763831733012
"logfbar" -6.68761256874531 1.1500221718579
"logfbar" -4.41664352443658 1.1333223352089
"logfbar" -3.98602046304763 1.14888866843325
"logfbar" -3.66131078620469 1.15353922954815
"logfbar" -3.92212822259859 1.16465327096299
"logfbar" -4.11089340096609 1.16862492792851
"logfbar" -4.07217082853651 1.16791682954452
"logfbar" -4.12507945102352 1.17526525832486
"logfbar" -4.03317385948438 1.17432882993006
"logfbar" -3.8499150534483 1.17626904691356
"logfbar" -3.69081213053745 1.17887459834411
"logfbar" -3.47644550404679 1.18410298579779
"logfbar" -3.54185370679899 1.18811341307095
"logfbar" -3.98385197514548 1.19537972106574
"logfbar" -4.04617941472155 1.18936812765089
"logfbar" -4.30754157791665 1.18816382064903
"logfbar" -4.81230010128413 1.19035900716538
"logfbar" -4.89422500164073 1.18438541449439
"logfbar" -4.54665409153932 1.17654760326984
"logfbar" -4.61475286995883 1.17056197238644
"logfbar" -4.63398982210858 1.167474777703
"logCatch" 3.956589359054 0.0707668350488847
"logCatch" 4.13674398462 0.0782556309742227
"logCatch" 4.28547172783834 0.0771318123138819
"logCatch" 3.77171162241691 0.0748656536142938
