1959	60170
1960	77285
1961	86824
1962	55239
1963	51821
1964	56567
1965	51853
1966	66207
1967	62774
1968	77556
1969	63799
1970	76858
1971	62448
1972	44213
1973	52641
1974	46712
1975	35373
1976	37133
1977	32245
1978	27221
1979	33006
1980	37568
1981	38892
1982	33902
1983	38451
1984	36950
1985	51367
1986	57990
1987	59204
1988	43382
1989	39540
1990	41405
1991	43589
1992	35895
1993	15216
1994	661
1995	821
1996	1057
1997	9420
1998	20156
1999	27997
2000	25100
2001	16546
2002	15319
2003	15260
2004	14414
2005	14776
2006	13157
2007	12959
2008	11773
2009	9762
2010	8299
2011	6876
2012	5087
2013	4366
2014	6745
2015	6008
2016	4751

2016	666
2017	649
